       time            m1           m2           x1           y1           z1           x2           y2           z2   separation  CE+ejecta_m  semimajor_a eccentricity   unbound_m         spin1        spin2  orb._period       spin1z       spin2z           I1           I2        mgas1        mgas2      cs1_avg      cs2_avg      cs1_rms      cs2_rms       Omega1       Omega2        rdisk        hdisk       v1_inf       v2_inf
 0.27451D-02   1.000000       10.00000       103.21       35.320     -0.12159E-02  -10.321      -3.5319     -0.26512E-14   120.00       0.0000     -0.10187E+09   1.0000       0.0000      0.10492E-09   0.0000              NaN -0.94528E-10   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.12457E-08          NaN          NaN          NaN  0.29873E-03  0.29873E-04
 0.24980D+00   1.000000       10.00000       103.12       35.304     -0.12159E-02  -10.312      -3.5304     -0.21974E-10   119.89       0.0000     -0.10188E+09   1.0000       0.0000      0.77532E-09   0.0000              NaN -0.33464E-10   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.44099E-09          NaN          NaN          NaN  0.29872E-03  0.29872E-04
 0.49961D+00   1.000000       10.00000       103.02       35.288     -0.12159E-02  -10.302      -3.5288     -0.87973E-10   119.79       0.0000     -0.10189E+09   1.0000       0.0000      0.95192E-09   0.0000              NaN -0.55556E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.73211E-08          NaN          NaN          NaN  0.29871E-03  0.29871E-04
 0.74942D+00   1.000000       10.00000       102.93       35.272     -0.12159E-02  -10.293      -3.5272     -0.19811E-09   119.68       0.0000     -0.10189E+09   1.0000       0.0000      0.11052E-08   0.0000              NaN -0.10388E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.13689E-07          NaN          NaN          NaN  0.29870E-03  0.29870E-04
 0.99922D+00   1.000000       10.00000       102.83       35.256     -0.12159E-02  -10.283      -3.5256     -0.35252E-09   119.58       0.0000     -0.10190E+09   1.0000       0.0000      0.67182E-09   0.0000              NaN -0.60619E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.79883E-08          NaN          NaN          NaN  0.29869E-03  0.29869E-04
 0.12490D+01   1.000000       10.00000       102.73       35.240     -0.12159E-02  -10.273      -3.5240     -0.55129E-09   119.47       0.0000     -0.10190E+09   1.0000       0.0000      0.97271E-09   0.0000              NaN -0.89079E-09   0.0000      0.75884E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.11739E-07          NaN          NaN          NaN  0.29869E-03  0.29869E-04
 0.14988D+01   1.000000       10.00000       102.64       35.224     -0.12159E-02  -10.264      -3.5224     -0.79457E-09   119.37       0.0000     -0.10191E+09   1.0000       0.0000      0.14699E-08   0.0000              NaN -0.14312E-08   0.0000      0.75884E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.18861E-07          NaN          NaN          NaN  0.29868E-03  0.29868E-04
 0.17486D+01   1.000000       10.00000       102.54       35.208     -0.12159E-02  -10.254      -3.5208     -0.10825E-08   119.26       0.0000     -0.10191E+09   1.0000       0.0000      0.19076E-08   0.0000              NaN -0.18608E-08   0.0000      0.75884E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.24522E-07          NaN          NaN          NaN  0.29867E-03  0.29867E-04
 0.20012D+01   1.000000       10.00000       102.45       35.192     -0.12159E-02  -10.245      -3.5191     -0.14190E-08   119.15       0.0000     -0.10192E+09   1.0000       0.0000      0.20996E-08   0.0000              NaN -0.18375E-08   0.0000      0.75885E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.24215E-07   0.0000         Infinity          NaN  0.29866E-03  0.29866E-04
 0.22510D+01   1.000000       10.00000       102.35       35.176     -0.12159E-02  -10.235      -3.5175     -0.17969E-08   119.05       0.0000     -0.10192E+09   1.0000       0.0000      0.19953E-08   0.0000              NaN -0.17592E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.23183E-07          NaN          NaN          NaN  0.29866E-03  0.29866E-04
 0.25008D+01   1.000000       10.00000       102.25       35.160     -0.12159E-02  -10.225      -3.5159     -0.22199E-08   118.94       0.0000     -0.10191E+09   1.0000       0.0000      0.19370E-08   0.0000              NaN -0.16326E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.21515E-07          NaN          NaN          NaN  0.29867E-03  0.29867E-04
 0.27506D+01   1.000000       10.00000       102.16       35.144     -0.12159E-02  -10.216      -3.5143     -0.26879E-08   118.84       0.0000     -0.10190E+09   1.0000       0.0000      0.18196E-08   0.0000              NaN -0.15708E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.20699E-07          NaN          NaN          NaN  0.29868E-03  0.29868E-04
 0.30004D+01   1.000000       10.00000       102.06       35.128     -0.12159E-02  -10.206      -3.5127     -0.32011E-08   118.73       0.0000     -0.10189E+09   1.0000       0.0000      0.13629E-08   0.0000              NaN -0.11617E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.15309E-07          NaN          NaN          NaN  0.29870E-03  0.29870E-04
 0.32502D+01   1.000000       10.00000       101.96       35.112     -0.12159E-02  -10.196      -3.5111     -0.37597E-08   118.62       0.0000     -0.10188E+09   1.0000       0.0000      0.19463E-08   0.0000              NaN -0.17796E-08   0.0000      0.75885E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.23452E-07   0.0000         Infinity          NaN  0.29871E-03  0.29871E-04
 0.35000D+01   1.000000       10.00000       101.87       35.095     -0.12159E-02  -10.187      -3.5095     -0.43637E-08   118.52       0.0000     -0.10188E+09   1.0000       0.0000      0.12970E-08   0.0000              NaN -0.11057E-08   0.0000      0.75885E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000     -0.14571E-07   0.0000         Infinity          NaN  0.29872E-03  0.29872E-04
 0.37498D+01   1.000000       10.00000       101.77       35.079     -0.12159E-02  -10.177      -3.5078     -0.50133E-08   118.41       0.0000     -0.10188E+09   1.0000       0.0000      0.89850E-09   0.0000              NaN  0.85463E-09   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.11262E-07          NaN          NaN          NaN  0.29872E-03  0.29872E-04
 0.39996D+01   1.000000       10.00000       101.67       35.063     -0.12159E-02  -10.167      -3.5062     -0.57086E-08   118.30       0.0000     -0.10188E+09   1.0000       0.0000      0.13229E-08   0.0000              NaN  0.11958E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.15758E-07          NaN          NaN          NaN  0.29872E-03  0.29872E-04
 0.42494D+01   1.000000       10.00000       101.58       35.047     -0.12159E-02  -10.158      -3.5046     -0.64497E-08   118.20       0.0000     -0.10188E+09   1.0000       0.0000      0.11380E-08   0.0000              NaN  0.11130E-08   0.0000      0.75885E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.14668E-07   0.0000         Infinity          NaN  0.29871E-03  0.29871E-04
 0.44992D+01   1.000000       10.00000       101.48       35.031     -0.12158E-02  -10.148      -3.5030     -0.72368E-08   118.09       0.0000     -0.10189E+09   1.0000       0.0000      0.14646E-08   0.0000              NaN  0.13910E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.18331E-07          NaN          NaN     Infinity  0.29871E-03  0.29871E-04
 0.47490D+01   1.000000       10.00000       101.38       35.014     -0.12158E-02  -10.138      -3.5014     -0.80699E-08   117.99       0.0000     -0.10189E+09   1.0000       0.0000      0.14558E-08   0.0000              NaN  0.14000E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.18449E-07          NaN          NaN          NaN  0.29870E-03  0.29870E-04
 0.49989D+01   1.000000       10.00000       101.29       34.998     -0.12158E-02  -10.129      -3.4997     -0.89492E-08   117.88       0.0000     -0.10190E+09   1.0000       0.0000      0.18722E-08   0.0000              NaN  0.18076E-08   0.0000      0.75885E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.23820E-07   0.0000         Infinity          NaN  0.29869E-03  0.29869E-04
 0.52487D+01   1.000000       10.00000       101.19       34.982     -0.12158E-02  -10.119      -3.4981     -0.98749E-08   117.77       0.0000     -0.10191E+09   1.0000       0.0000      0.21348E-08   0.0000              NaN  0.21184E-08   0.0000      0.75884E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.27915E-07   0.0000         Infinity          NaN  0.29868E-03  0.29868E-04
 0.55012D+01   1.000000       10.00000       101.09       34.965     -0.12158E-02  -10.109      -3.4965     -0.10858E-07   117.67       0.0000     -0.10191E+09   1.0000       0.0000      0.24212E-08   0.0000              NaN  0.23906E-08   0.0000      0.75884E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.31503E-07   0.0000         Infinity          NaN  0.29867E-03  0.29867E-04
 0.57510D+01   1.000000       10.00000       101.00       34.949     -0.12158E-02  -10.100      -3.4948     -0.11877E-07   117.56       0.0000     -0.10192E+09   1.0000       0.0000      0.33594E-08   0.0000              NaN  0.33582E-08   0.0000      0.75884E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.44254E-07          NaN          NaN          NaN  0.29866E-03  0.29866E-04
 0.60008D+01   1.000000       10.00000       100.90       34.933     -0.12158E-02  -10.090      -3.4932     -0.12943E-07   117.45       0.0000     -0.10192E+09   1.0000       0.0000      0.37440E-08   0.0000              NaN  0.37127E-08   0.0000      0.75884E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.48926E-07          NaN          NaN     Infinity  0.29865E-03  0.29865E-04
 0.62506D+01   1.000000       10.00000       100.80       34.917     -0.12158E-02  -10.080      -3.4916     -0.14056E-07   117.35       0.0000     -0.10192E+09   1.0000       0.0000      0.34728E-08   0.0000              NaN  0.34720E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.45754E-07          NaN          NaN          NaN  0.29865E-03  0.29865E-04
 0.65004D+01   1.000000       10.00000       100.70       34.900     -0.12158E-02  -10.071      -3.4899     -0.15215E-07   117.24       0.0000     -0.10192E+09   1.0000       0.0000      0.39351E-08   0.0000              NaN  0.38565E-08   0.0000      0.75885E-01  0.19722E-29   1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.50820E-07   0.0000         Infinity          NaN  0.29866E-03  0.29866E-04
 0.67502D+01   1.000000       10.00000       100.61       34.884     -0.12158E-02  -10.061      -3.4883     -0.16422E-07   117.13       0.0000     -0.10191E+09   1.0000       0.0000      0.38441E-08   0.0000              NaN  0.37702E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.49683E-07          NaN          NaN          NaN  0.29867E-03  0.29867E-04
 0.70000D+01   1.000000       10.00000       100.51       34.868     -0.12157E-02  -10.051      -3.4867     -0.17676E-07   117.03       0.0000     -0.10190E+09   1.0000       0.0000      0.41520E-08   0.0000              NaN  0.41110E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.54174E-07          NaN          NaN          NaN  0.29869E-03  0.29869E-04
 0.72499D+01   1.000000       10.00000       100.41       34.851     -0.12157E-02  -10.041      -3.4850     -0.18977E-07   116.92       0.0000     -0.10189E+09   1.0000       0.0000      0.42357E-08   0.0000              NaN  0.42172E-08   0.0000      0.75885E-01   0.0000       1.0000       0.0000      0.89222       0.0000      0.91044       0.0000      0.55574E-07          NaN          NaN          NaN  0.29870E-03  0.29870E-04
